#
# Sunnyvale Tactical Call List
# updated/revised: 23-Apr-2012 by B Gundrum
#
SNYEOC    Sunnyvale EOC
SNYMCC    Sunnyvale Mobile Communications Center
#
SNYFS1    Sunnyvale Fire Station 1
SNYFS2    Sunnyvale Fire Station 2
SNYFS3    Sunnyvale Fire Station 3
SNYFS4    Sunnyvale Fire Station 4
SNYFS5    Sunnyvale Fire Station 5
SNYFS6    Sunnyvale Fire Station 6
#
SNYVC1    Sunnyvale Volunteer Center 1
SNYVC2    Sunnyvale Volunteer Center 2
SNYVC3    Sunnyvale Volunteer Center 3
SNYVC4    Sunnyvale Volunteer Center 4
#
SNYS01    Sunnyvale Shelter 01
SNYS02    Sunnyvale Shelter 02
SNYS03    Sunnyvale Shelter 03
SNYS04    Sunnyvale Shelter 04
SNYS05    Sunnyvale Shelter 05
SNYS06    Sunnyvale Shelter 06 
SNYS07    Sunnyvale Shelter 07
SNYS08    Sunnyvale Shelter 08
SNYS09    Sunnyvale Shelter 09
SNYS10    Sunnyvale Shelter 10
#
# Plus the 10 "Tactical Calls for Ad Hoc Use" (SNY001 > SNY010)
#	
#
#Mountain View Tactical Call List
#Revised: 05 Nov 2016 by Phil Henderson, KF6ZSQ, AEC
#
MTVEOC	Mtn. View Emergency Operations Ctr
MTVMOC	Mtn. View Municipal Operations Ctr
MTVPUB	Mtn. View Public Works Branch
MTVOPS	Mtn. View Operations Section
MTVFIR	Mtn. View Fire Branch
MTVLAW	Mtn. View Law Branch
MTVPLN	Mtn. View Planning Section
MTVLOG	Mtn. View Logistics Section
#
MTVAPK	Ada Park CERT
MTVATA	Appletree Area CERT
MTVCPK	Cuesta Park CERT
MTVCPR	Cooper Neighborhood CERT
MTVGPK	Gemello Park CERT
MTVGSA	Greater San Antonio CERT
MTVMLN	Monta Loma CERT
MTVMVG	Mountain View Gardens CERT
MTVNWA	North Whisman CERT
MTVOMV	Old Mtn. View CERT
MTVREX	Rex Manor CERT
MTVSFA	Saint Francis Acres CERT
MTVSLA	Slater CERT
MTVSLV	Sylvan Park CERT
MTVSMV	South Mtn. View CERT
MTVVAR	Varsity Park CERT
MTVWWN	Wagon Wheel CERT
#
MTVMLA	Mtn. View-Los Altos H.S. Dist.
MTVMVW	Mtn. View-Whisman School Dist.
#
MTVEVC	Mtn. View Emergent Volunteer Ctr.
MTVSEN	Mtn. View Senior Ctr.
MTVCOM	Mtn. View Community Ctr.

MTVYMC	Mtn. View YMCA
MTVGMS	Graham Middle School
MTVCMS	Crittenden Middle School
#
MTVFS1	MTV Fire Sta. 1
MTVFS2	MTV Fire Sta. 2
MTVFS3	MTV Fire Sta. 3
MTVFS4	MTV Fire Sta. 4
MTVFS5	MTV Fire Sta. 5
#
MTVPAV	Mtn. View Sports Pavilian
MTVWSC	Whisman Sports Center
MTVSHR	Shoreline Park & Amphitheater
#
MTVWS1	Windshield 1
MTVWS2	Windshield 2
MTVWS3	Windshield 3
#
#MTV001 thru MTV010 also permissible
#
# Cupertino Tactical Calls
# 07-Jan-2016
#
# Cupertino OES
CUPCCC	Cupertino Citizen Corps
CUPDPW	Cupertino Corp Yard
CUPEOC	Cupertino EOC
CUPOPS	Field Ops
#
# Parks and Rec
CUPBBF	Cupertino Blackberry Farm
CUPCRE	Creekside Park
CUPJOL	Jollyman Park
CUPMEM	Memorial Park
CUPPOR	Portal Park
CUPQLN	Quinlan Center/Shelter
CUPSEN	Senior Center
#
# Arks
CUPDZA	DeAnza College Ark
CUPGGA	Garden Gate Ark
CUPHYA	Hyde Middle School Ark
CUPLSA	Lawson School Ark
CUPMBA	Montebello Ridge Ark
CUPMVA	Monta Vista Ark
CUPRSA	Regnart School Ark
CUPSCA	Stevens Canyon Ark
#
# Public Safety
CUPCSO	County SO West Side Station
#
# Local Services
CUPMED	Cupertino Medical Center
CUPSAN	Cupertino Sanitary District (MOU)
CUPWVS	West Valley Service Center
#
# City of Palo Alto Tactical Call List
# Revised: 30-Jan-2014 by Paul Lufkin, K6PML, AEC
# 
# Ad hoc Tactical Calls pre-configured by Outpost, listed here as a reminder
# PAF001
# PAF002
# PAF003
# PAF004
# PAF005
# PAF006
# PAF007
# PAF008
# PAF009
# PAF010

#Auxiliary Command 
PAFOES	Palo Alto Office of Emergency Services (OES) 
PAFMOC	Palo Alto Mobile Operations Center
PAFDOC	Palo Alto Emergency Services Volunteer Division Operations Center
#
#   Tactical calls for Packet Net Operations
#   Revised:  16-Dec-2013 by Michael Fox, N6MEF
#
PKTMON	Packet Net Check-in for Monday Nights
PKTTUE	Packet Net Check-in for Tuesday Nights
PKTEST	Packet Net Check-in Testing
#
PKTPNG	Packet Pinghosts Utility
#
# San Jose Tactical Call List Version 2
# updated/revised: 20-Feb-2014 by Chris Swartout, N6WCP
#
SJCEOC	San Jose Emergency Operations Center
SJCPKT	San Jose Packet NET Checkins
SJCBFO	San Jose Battalion Field Operations
SJCCNX	San Jose Connex (RACES Logistics Site)
SJCCSH	San Jose Communications Shelter
#
# Fire Stations
#
SJCF01	San Jose Fire Station 1
SJCF02	San Jose Fire Station 2
SJCF03	San Jose Fire Station 3
SJCF04	San Jose Fire Station 4
SJCF05	San Jose Fire Station 5
SJCF06	San Jose Fire Station 6
SJCF07	San Jose Fire Station 7
SJCF08	San Jose Fire Station 8
SJCF09	San Jose Fire Station 9
SJCF10	San Jose Fire Station 10
SJCF11	San Jose Fire Station 11
